DateTime(UTC),CRNP
2016-10-31 03:46:03,
2016-10-31 04:46:03,
2016-10-31 05:46:03,
2016-10-31 06:46:03,
2016-10-31 07:46:03,
2016-10-31 08:46:03,
2016-10-31 09:46:03,
2016-10-31 10:46:03,
2016-10-31 11:46:03,
2016-10-31 12:46:03,
2016-10-31 13:46:03,
2016-10-31 14:46:03,
2016-10-31 15:46:03,
2016-10-31 16:46:03,
2016-10-31 17:46:03,
2016-10-31 18:46:03,
2016-10-31 19:46:03,
2016-10-31 20:46:03,
2016-10-31 21:46:03,
2016-10-31 22:46:03,
2016-10-31 23:46:03,
2016-11-01 00:46:03,
2016-11-01 01:46:03,
2016-11-01 02:46:03,
2016-11-01 03:46:03,
2016-11-01 04:46:03,
2016-11-01 05:46:03,
2016-11-01 06:46:03,
2016-11-01 07:46:03,
2016-11-01 08:46:03,
2016-11-01 09:46:03,
2016-11-01 10:46:03,
2016-11-01 11:46:03,
2016-11-01 12:46:03,
2016-11-01 13:46:03,
2016-11-01 14:46:03,
2016-11-01 15:46:03,
2016-11-01 16:46:03,
2016-11-01 17:46:03,
2016-11-01 18:46:03,
2016-11-01 19:46:03,
2016-11-01 20:46:03,
2016-11-01 21:46:03,
2016-11-01 22:46:03,
2016-11-01 23:46:03,
2016-11-02 00:46:03,
2016-11-02 01:46:03,
2016-11-02 02:46:03,
2016-11-02 03:46:03,
2016-11-02 04:46:03,
2016-11-02 05:46:03,
2016-11-02 06:46:03,
2016-11-02 07:46:03,
2016-11-02 08:46:03,
2016-11-02 09:46:03,
2016-11-02 10:46:03,
2016-11-02 11:46:03,
2016-11-02 12:46:03,
2016-11-02 13:46:03,
2016-11-02 14:46:03,
2016-11-02 15:46:03,
2016-11-02 16:46:03,
2016-11-02 17:46:03,
2016-11-02 18:46:03,
2016-11-02 19:46:03,
2016-11-02 20:46:03,
2016-11-02 21:46:03,
2016-11-02 22:46:03,
2016-11-02 23:46:03,
2016-11-03 00:46:03,
2016-11-03 01:46:03,
2016-11-03 02:46:03,
2016-11-03 03:46:03,
2016-11-03 04:46:03,
2016-11-03 05:46:03,
2016-11-03 06:46:03,
2016-11-03 07:46:03,
2016-11-03 08:46:03,
2016-11-03 09:46:03,
2016-11-03 10:46:03,
2016-11-03 11:46:03,
2016-11-03 12:46:03,
2016-11-03 13:46:03,
2016-11-03 14:46:03,
2016-11-03 15:46:03,
2016-11-03 16:46:03,
2016-11-03 17:46:03,
2016-11-03 18:46:03,
2016-11-03 19:46:03,
2016-11-03 20:46:03,
2016-11-03 21:46:03,
2016-11-03 22:46:03,
2016-11-03 23:46:03,
2016-11-04 00:46:03,
2016-11-04 01:46:03,
2016-11-04 02:46:03,
2016-11-04 03:46:03,
2016-11-04 04:46:03,
2016-11-04 05:46:03,
2016-11-04 06:46:03,
2016-11-04 07:46:03,
2016-11-04 08:46:03,
2016-11-04 09:46:03,
2016-11-04 10:46:03,
2016-11-04 11:46:03,
2016-11-04 12:46:03,
2016-11-04 13:46:03,
2016-11-04 14:46:03,
2016-11-04 15:46:03,
2016-11-04 16:46:03,
2016-11-04 17:46:03,
2016-11-04 18:46:03,
2016-11-04 19:46:03,
2016-11-04 20:46:03,
2016-11-04 21:46:03,
2016-11-04 22:46:03,
2016-11-04 23:46:03,
2016-11-05 00:46:03,
2016-11-05 01:46:03,
2016-11-05 02:46:03,
2016-11-05 03:46:03,
2016-11-05 04:46:03,
2016-11-05 05:46:03,
2016-11-05 06:46:03,
2016-11-05 07:46:03,
2016-11-05 08:46:03,
2016-11-05 09:46:03,
2016-11-05 10:46:03,
2016-11-05 11:46:03,
2016-11-05 12:46:03,
2016-11-05 13:46:03,
2016-11-05 14:46:03,
2016-11-05 15:46:03,
2016-11-05 16:46:03,
2016-11-05 17:46:03,
2016-11-05 18:46:03,
2016-11-05 19:46:03,
2016-11-05 20:46:04,
2016-11-05 21:46:04,
2016-11-05 22:46:04,
2016-11-05 23:46:04,
2016-11-06 00:46:04,
2016-11-06 01:46:04,
2016-11-06 02:46:04,
2016-11-06 03:46:04,
2016-11-06 04:46:04,
2016-11-06 05:46:04,
2016-11-06 06:46:04,
2016-11-06 07:46:04,
2016-11-06 08:46:04,
2016-11-06 09:46:04,
2016-11-06 10:46:04,
2016-11-06 11:46:04,
2016-11-06 12:46:04,
2016-11-06 13:46:04,
2016-11-06 14:46:04,
2016-11-06 15:46:04,
2016-11-06 16:46:04,
2016-11-06 17:46:04,
2016-11-06 18:46:04,
2016-11-06 19:46:04,
2016-11-06 20:46:04,
2016-11-06 21:46:04,
2016-11-06 22:46:04,
2016-11-06 23:46:04,
2016-11-07 00:46:04,
2016-11-07 01:46:04,
2016-11-07 02:46:04,
2016-11-07 03:46:04,
2016-11-07 04:46:04,
2016-11-07 05:46:04,
2016-11-07 06:46:04,
2016-11-07 07:46:04,
2016-11-07 08:46:04,
2016-11-07 09:46:04,
2016-11-07 10:46:04,
2016-11-07 11:46:04,
2016-11-07 12:46:04,
2016-11-07 13:46:04,
2016-11-07 14:46:04,
2016-11-07 15:46:04,
2016-11-07 16:46:04,
2016-11-07 17:46:04,
2016-11-07 18:46:04,
2016-11-07 19:46:04,
2016-11-07 20:46:04,
2016-11-07 21:46:04,
2016-11-07 22:46:04,
2016-11-07 23:46:04,
2016-11-08 00:46:04,
2016-11-08 01:46:04,
2016-11-08 02:46:04,
2016-11-08 03:46:04,
2016-11-08 04:46:04,
2016-11-08 05:46:04,
2016-11-08 06:46:04,
2016-11-08 07:46:04,
2016-11-08 08:46:04,
2016-11-08 09:46:04,
2016-11-08 10:46:04,
2016-11-08 11:46:04,
2016-11-08 12:46:04,
2016-11-08 13:46:04,
2016-11-08 14:46:04,
2016-11-08 15:46:04,
2016-11-08 16:46:04,
2016-11-08 17:46:04,
2016-11-08 18:46:04,
2016-11-08 19:46:04,
2016-11-08 20:46:04,
2016-11-08 21:46:04,
2016-11-08 22:46:04,
2016-11-08 23:46:04,
2016-11-09 00:46:04,
2016-11-09 01:46:04,
2016-11-09 02:46:04,
2016-11-09 03:46:04,
2016-11-09 04:46:04,
2016-11-09 05:46:04,
2016-11-09 06:46:04,
2016-11-09 07:46:04,
2016-11-09 08:46:04,
2016-11-09 09:46:04,
2016-11-09 10:46:04,
2016-11-09 11:46:04,
2016-11-09 12:46:04,
2016-11-09 13:46:04,
2016-11-09 14:46:04,
2016-11-09 15:46:04,
2016-11-09 16:46:04,
2016-11-09 17:46:04,
2016-11-09 18:46:04,
2016-11-09 19:46:04,
2016-11-09 20:46:04,
2016-11-09 21:46:04,
2016-11-09 22:46:04,
2016-11-09 23:46:04,
2016-11-10 00:46:04,
2016-11-10 01:46:04,
2016-11-10 02:46:04,
2016-11-10 03:46:04,
2016-11-10 04:46:04,
2016-11-10 05:46:04,
2016-11-10 06:46:04,
2016-11-10 07:46:04,
2016-11-10 08:46:04,
2016-11-10 09:46:04,
2016-11-10 10:46:04,
2016-11-10 11:46:04,
2016-11-10 12:46:04,
2016-11-10 13:46:04,
2016-11-10 14:46:04,
2016-11-10 15:46:04,
2016-11-10 16:46:04,
2016-11-10 17:46:04,
2016-11-10 18:46:04,
2016-11-10 19:46:04,
2016-11-10 20:46:04,
2016-11-10 21:46:04,
2016-11-10 22:46:04,
2016-11-10 23:46:04,
2016-11-11 00:46:04,
2016-11-11 01:46:04,
2016-11-11 02:46:04,
2016-11-11 03:46:04,
2016-11-11 04:46:04,
2016-11-11 05:46:04,
2016-11-11 06:46:04,
2016-11-11 07:46:04,
2016-11-11 08:46:04,
2016-11-11 09:46:04,
2016-11-11 10:46:04,
2016-11-11 11:46:04,
2016-11-11 12:46:04,
2016-11-11 13:46:04,
2016-11-11 14:46:04,
2016-11-11 15:46:04,
2016-11-11 16:46:04,
2016-11-11 17:46:04,
2016-11-11 18:46:04,
2016-11-11 19:46:04,
2016-11-11 20:46:04,
2016-11-11 21:46:04,
2016-11-11 22:46:04,
2016-11-11 23:46:04,16.892205141437113
2016-11-12 00:46:04,16.25528215903583
2016-11-12 01:46:04,15.266112105199184
2016-11-12 02:46:04,15.435102940719972
2016-11-12 03:46:04,15.320513012588858
2016-11-12 04:46:04,15.15854901646961
2016-11-12 05:46:04,15.161597405320345
2016-11-12 06:46:04,15.097959934357059
2016-11-12 07:46:04,15.00520133428192
2016-11-12 08:46:04,14.927946852327633
2016-11-12 09:46:04,15.099017986827517
2016-11-12 10:46:04,14.959900196994514
2016-11-12 11:46:04,14.867377853502717
2016-11-12 12:46:04,14.895717394948587
2016-11-12 13:46:04,14.730468267939415
2016-11-12 14:46:04,14.654288794509696
2016-11-12 15:46:04,14.632271090290367
2016-11-12 16:46:04,14.744336250904222
2016-11-12 17:46:04,14.774564290855263
2016-11-12 18:46:04,14.806297324899798
2016-11-12 19:46:04,14.767013397929679
2016-11-12 20:46:04,14.860055090165556
2016-11-12 21:46:04,14.754856223001608
2016-11-12 22:46:04,14.861389664647787
2016-11-12 23:46:04,14.699954221057233
2016-11-13 00:46:04,14.866541345169013
2016-11-13 01:46:04,14.776659456417942
2016-11-13 02:46:04,14.755935852686477
2016-11-13 03:46:04,14.819322501011625
2016-11-13 04:46:04,14.837372270856768
2016-11-13 05:46:04,14.819895031398284
2016-11-13 06:46:04,14.91163539631091
2016-11-13 07:46:04,14.878882564673694
2016-11-13 08:46:04,14.70627075087309
2016-11-13 09:46:04,14.833717344807049
2016-11-13 10:46:04,14.805406185027811
2016-11-13 11:46:04,15.12390213397809
2016-11-13 12:46:04,14.837033255737172
2016-11-13 13:46:04,14.85913676044571
2016-11-13 14:46:04,14.74194011660164
2016-11-13 15:46:04,14.80332641172648
2016-11-13 16:46:04,14.818942371973847
2016-11-13 17:46:04,14.563879272750526
2016-11-13 18:46:04,14.733888034924128
2016-11-13 19:46:04,15.023357472793291
2016-11-13 20:46:04,15.069571766132238
2016-11-13 21:46:04,14.871320806915007
2016-11-13 22:46:04,15.172930776897495
2016-11-13 23:46:04,15.099827038973634
2016-11-14 00:46:04,15.090446336151997
2016-11-14 01:46:04,15.42072643374279
2016-11-14 02:46:04,15.56890608466643
2016-11-14 03:46:05,15.696881260073878
2016-11-14 04:46:05,15.496466938556
2016-11-14 05:46:05,15.655584541901579
2016-11-14 06:46:05,15.39083905371782
2016-11-14 07:46:05,15.25624607813534
2016-11-14 08:46:05,15.241603021246938
2016-11-14 09:46:05,15.3061057806681
2016-11-14 10:46:05,14.971178916106137
2016-11-14 11:46:05,14.900966608327185
2016-11-14 12:46:05,15.020098499326384
2016-11-14 13:46:05,14.73819691726499
2016-11-14 14:46:05,14.684613667501345
2016-11-14 15:46:05,14.551251009145187
2016-11-14 16:46:05,14.743930354178922
2016-11-14 17:46:05,14.784855423470544
2016-11-14 18:46:05,14.75164342761352
2016-11-14 19:46:05,14.56230913362418
2016-11-14 20:46:05,14.735215635417845
2016-11-14 21:46:05,14.730169430908562
2016-11-14 22:46:05,14.922835456551406
2016-11-14 23:46:05,15.069149949693102
2016-11-15 00:46:05,15.102819466360431
2016-11-15 01:46:05,15.064171111039313
2016-11-15 02:46:05,15.110789977835672
2016-11-15 03:46:05,15.226309410379965
2016-11-15 04:46:05,15.278919528817536
2016-11-15 05:46:05,15.479713388365427
2016-11-15 06:46:05,15.656465303336379
2016-11-15 07:46:05,15.880521360833278
2016-11-15 08:46:05,15.706186687974805
2016-11-15 09:46:05,15.849128827321083
2016-11-15 10:46:05,15.740660074482271
